"","gps.lon","gps.lat","price","Rooms","Meters","Mezone","KK","panel","balcony_or_terrase","metro","novostavba"
"96",14.565638,50.105717,6459000,4,76,0,1,0,1,1,1
"97",14.58458,50.10508,12519000,4,130,0,1,0,1,1,1
"98",14.510207,50.106956,2799000,1,37,0,1,0,1,1,1
"99",14.39601,50.071163,7690000,2,58,0,1,0,1,1,1
"100",14.28247,50.057732,5700000,2,64,0,1,0,0,1,1
"101",14.395199,50.0741,24000000,4,167,0,1,0,1,1,1
"102",14.395199,50.0741,19700000,4,132,0,1,0,1,1,1
"103",14.426175,50.10183,11950000,3,123,0,1,0,0,1,0
"104",14.370146,50.068878,14000000,3,83,0,1,0,0,1,1
"105",14.444008,50.066727,16490000,5,123,0,0,0,1,1,1
"106",14.430552,50.07692,15590000,6,145,0,0,0,0,1,0
"107",14.441404,50.077847,22800000,4,121,0,1,0,1,1,0
"108",14.426374,50.090588,15990000,5,95,0,0,0,1,1,0
"109",14.448543,50.078693,20700000,4,124,0,1,0,1,1,0
"110",14.454733,50.129566,6800000,4,73,0,0,1,0,1,0
"111",14.340703,50.089462,5850000,2,51,0,1,0,1,1,1
"112",14.4915,50.043499,5277888,2,54,0,1,0,1,1,0
"113",14.4915,50.043499,7634004,3,79,0,1,0,1,1,0
"114",14.4915,50.043499,3672648,1,37,0,1,0,1,1,0
"115",14.3508,50.055801,13900000,4,179,0,1,0,1,1,0
"116",14.502497,50.057541,7910850,2,72,0,1,0,1,1,1
"117",14.502497,50.057541,15136454,4,107,0,1,0,1,1,1
"118",14.502497,50.057541,8119000,2,87,0,1,0,1,1,1
"119",14.416729,50.07629,12500000,2,80,0,1,0,0,1,0
"120",14.493021,50.053959,14677220,4,112,0,1,0,1,1,1
"121",14.502497,50.057541,13152550,3,93,0,1,0,1,1,1
"122",14.458365,50.092678,10480000,3,67,0,1,0,1,1,0
"123",14.458365,50.092678,10480000,2,67,0,1,0,1,1,0
"124",14.413983,50.079521,37030007,4,211,0,1,0,1,1,0
"125",14.405656,50.07531,39843000,5,272,0,1,0,1,1,0
"126",14.400321,50.067287,25890000,4,164,0,0,0,1,1,0
"127",14.417782,50.084553,45000000,4,256,0,1,0,1,1,0
"128",14.413983,50.079521,23622000,3,112,0,1,0,0,1,0
"129",14.381261,50.060699,2400000,1,18,0,1,0,0,1,1
"130",14.487187,50.090145,5490000,3,76,0,1,0,1,1,0
"131",14.538909,50.030972,7250000,3,89,0,1,0,1,1,0
"132",14.420108,50.00885,2587550,1,34,0,1,1,0,1,0
"133",14.435024,50.090782,19500000,3,119,0,1,0,1,1,0
"134",14.443914,50.072296,7490000,2,69,0,1,0,1,1,0
"135",14.443593,50.110619,3500000,1,31,0,1,0,0,1,1
"136",14.433439,50.067257,18690000,4,198,1,1,0,1,1,0
"137",14.361293,50.085926,8500000,3,91,0,1,1,1,1,0
"138",14.43461,50.0704,3549000,1,23,0,1,0,0,1,0
"139",14.45758,50.081051,8990000,3,70,0,1,0,1,1,0
"140",14.532846,50.034351,4800000,2,49,0,1,1,0,1,0
"141",14.475224,50.130459,4999000,4,68,0,1,1,0,1,0
"142",14.449461,50.105076,9490000,5,102,0,0,0,1,1,0
"143",14.48547,50.084518,3850000,1,36,0,1,0,0,1,0
"144",14.452099,50.079243,9300000,4,91,0,0,0,0,1,0
"145",14.456259,50.105602,17450000,3,126,0,1,0,1,1,1
"146",14.527062,50.108616,3549000,1,35,0,1,0,1,1,0
"147",14.526714,50.108826,3499000,1,34,0,1,0,1,1,0
